Group,Subgroup,Name,Shape,Type,Size
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,gain,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,triggerMode,"(1,)",|S2,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,beamIntensity,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,beamSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,cogX,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,cogY,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,height,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,horProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,horProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,horProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,horProjection,"(2592,)",float64,2592
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,imageRawData,"(2048, 2592)",int16,5308416
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,imageTimeStamp,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,intensityAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,intensityHistogram,"(1000,)",int32,1000
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,intensityRMS,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,intensitySigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,pixelSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,verProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,verProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,verProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,verProjection,"(2048,)",float64,2048
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,width,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings,delayTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings,exposureTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings,gain,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings,triggerMode,"(1,)",|S2,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,beamIntensity,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,beamSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,cogX,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,cogY,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,height,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,horProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,horProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,horProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,horProjection,"(1280,)",float64,1280
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,imageRawData,"(960, 1280)",int16,1228800
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,imageTimeStamp,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,intensityAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,intensityHistogram,"(1000,)",int32,1000
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,intensityRMS,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,intensitySigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,pixelSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,verProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,verProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,verProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,verProjection,"(960,)",float64,960
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,width,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings,delayTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings,exposureTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings,gain,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings,triggerMode,"(1,)",|S2,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,beamIntensity,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,beamSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,cogX,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,cogY,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,height,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,horProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,horProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,horProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,horProjection,"(1920,)",float64,1920
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,imageRawData,"(1200, 1920)",int16,2304000
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,imageTimeStamp,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,intensityAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,intensityHistogram,"(1000,)",int32,1000
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,intensityRMS,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,intensitySigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,pixelSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,verProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,verProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,verProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,verProjection,"(1200,)",float64,1200
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,width,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings,delayTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings,exposureTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings,gain,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings,triggerMode,"(1,)",|S2,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,beamIntensity,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,beamSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,cogX,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,cogY,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,height,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,horProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,horProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,horProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,horProjection,"(1920,)",float64,1920
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,imageRawData,"(1200, 1920)",int16,2304000
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,imageTimeStamp,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,intensityAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,intensityHistogram,"(1000,)",int32,1000
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,intensityRMS,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,intensitySigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,pixelSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,verProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,verProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,verProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,verProjection,"(1200,)",float64,1200
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,width,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings,delayTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings,exposureTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings,gain,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.03TT41.CAM3/PublishedSettings,triggerMode,"(1,)",|S2,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,beamIntensity,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,beamSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,cogX,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,cogY,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,height,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,horProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,horProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,horProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,horProjection,"(1600,)",float64,1600
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,imageRawData,"(1200, 1600)",int16,1920000
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,imageTimeStamp,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,intensityAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,intensityHistogram,"(1000,)",int32,1000
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,intensityRMS,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,intensitySigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,pixelSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,verProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,verProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,verProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,verProjection,"(1200,)",float64,1200
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/ExtractionImage,width,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings,delayTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings,exposureTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings,gain,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.04TCC4.AWAKECAM04/PublishedSettings,triggerMode,"(1,)",|S2,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,beamIntensity,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,beamSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,cogX,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,cogY,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,height,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,horProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,horProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,horProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,horProjection,"(1920,)",float64,1920
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,imageRawData,"(1200, 1920)",int16,2304000
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,imageTimeStamp,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,intensityAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,intensityHistogram,"(1000,)",int32,1000
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,intensityRMS,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,intensitySigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,pixelSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,verProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,verProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,verProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,verProjection,"(1200,)",float64,1200
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/ExtractionImage,width,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings,delayTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings,exposureTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings,gain,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.04TT41.CAM4/PublishedSettings,triggerMode,"(1,)",|S2,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,beamIntensity,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,beamSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,cogX,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,cogY,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,height,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,horProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,horProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,horProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,horProjection,"(1920,)",float64,1920
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,imageRawData,"(1200, 1920)",int16,2304000
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,imageTimeStamp,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,intensityAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,intensityHistogram,"(1000,)",int32,1000
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,intensityRMS,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,intensitySigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,pixelSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,verProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,verProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,verProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,verProjection,"(1200,)",float64,1200
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,width,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings,delayTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings,exposureTime,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings,gain,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.05TT41.CAM5/PublishedSettings,triggerMode,"(1,)",|S2,1
AwakeEventData,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,beamIntensity,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,beamSize,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,cogX,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,cogY,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,height,"(1,)",int32,1
AwakeEventData,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,horProjAmp,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,horProjAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,horProjSigma,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,horProjection,"(1600,)",float64,1600
AwakeEventData,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,imageRawData,"(1200, 1600)",int16,1920000
AwakeEventData,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,imageTimeStamp,"(1,)",int64,1
AwakeEventData,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,intensityAvg,"(1,)",float64,1
AwakeEventData,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,intensityHistogram,"(1000,)",int32,1000
AwakeEventData,AwakeEventData/BOVWA.06TCC4.AWAKECAM06/ExtractionImage,intensityRMS,"(1,)",float64,1
